Frequency,Power
13510000.000000,2293.320739
13518000.000000,8230.297034
13526000.000000,1533.235884
13534000.000000,728.607642
13542000.000000,631.584178
13550000.000000,509.395681
13558000.000000,399.462675
13566000.000000,311.055105
13574000.000000,487.876383
13582000.000000,397.885351
13590000.000000,1361.258665
13598000.000000,313.180626
13606000.000000,327.850703
13614000.000000,226.918563
13622000.000000,376.707262
13630000.000000,570.592241
13638000.000000,223.409163
13646000.000000,201.693760
13654000.000000,248.909375
13662000.000000,234.138551
13670000.000000,193.435578
13678000.000000,366.737871
13686000.000000,392.252426
13694000.000000,294.339478
13702000.000000,209.111634
13710000.000000,225.659933
13718000.000000,274.712704
13726000.000000,185.713286
13734000.000000,863.590667
13742000.000000,306.326796
13750000.000000,7035.522140
13758000.000000,258.208948
13766000.000000,235.396999
13774000.000000,279.479610
13782000.000000,299.555504
13790000.000000,397.222896
13798000.000000,314.108243
13806000.000000,367.408343
13814000.000000,275.514221
13822000.000000,199.982063
13830000.000000,299.150739
13838000.000000,293.452356
13846000.000000,320.512767
13854000.000000,194.374939
13862000.000000,662.991734
13870000.000000,2978.194498
13878000.000000,731.918036
13886000.000000,334.060072
13894000.000000,368.528619
13902000.000000,275.516521
13910000.000000,257.591338
13918000.000000,261.244339
13926000.000000,378.297561
13934000.000000,293.375299
13942000.000000,282.331139
13950000.000000,360.591548
13958000.000000,471.002251
13966000.000000,354.271242
13974000.000000,316.806178
13982000.000000,300.015575
13990000.000000,279.883727
13998000.000000,421.703183
14006000.000000,390.840228
14014000.000000,359.551518
14022000.000000,390.760310
14030000.000000,256.994879
14038000.000000,269.180115
14046000.000000,138.550948
14054000.000000,269.713596
14062000.000000,401.623371
14070000.000000,575.981194
14078000.000000,260.811239
14086000.000000,342.130164
14094000.000000,420.548334
14102000.000000,291.142205
14110000.000000,287.743956
14118000.000000,357.431187
14126000.000000,257.528747
14134000.000000,1138.757812
14142000.000000,247.302041
14150000.000000,609.385613
14158000.000000,457.454989
14166000.000000,373.796035
14174000.000000,454.456103
14182000.000000,462.881168
14190000.000000,1041.159181
14198000.000000,516.069067
14206000.000000,428.297936
14214000.000000,544.320750
14222000.000000,625.269605
14230000.000000,1166.890376
14238000.000000,1626.609257
14246000.000000,3729.633175
14254000.000000,703.983763
14262000.000000,672.897318
14270000.000000,579.923249
14278000.000000,555.060685
14286000.000000,2947.485754
14294000.000000,511.915352
14302000.000000,632.388347
