Samples,Power
8380000.000000,108
8382000.000000,104
8384000.000000,-18
8386000.000000,-152
8388000.000000,-62
8390000.000000,116
8392000.000000,120
8394000.000000,29
8396000.000000,-151
8398000.000000,-97
8400000.000000,48
8402000.000000,179
8404000.000000,6
8406000.000000,-167
8408000.000000,-78
8410000.000000,89
8412000.000000,184
8414000.000000,-20
8416000.000000,-99
8418000.000000,-65
8420000.000000,87
8422000.000000,68
8424000.000000,-25
8426000.000000,-59
8428000.000000,-3
8430000.000000,66
8432000.000000,38
8434000.000000,33
8436000.000000,-68
8438000.000000,-21
8440000.000000,37
8442000.000000,63
8444000.000000,-46
8446000.000000,-68
8448000.000000,18
8450000.000000,54
8452000.000000,83
8454000.000000,-59
8456000.000000,-51
8458000.000000,-93
8460000.000000,38
8462000.000000,70
8464000.000000,62
8466000.000000,9
8468000.000000,-70
8470000.000000,-33
8472000.000000,-23
8474000.000000,50
8476000.000000,4
8478000.000000,9
8480000.000000,-40
8482000.000000,-30
8484000.000000,39
8486000.000000,76
8488000.000000,83
8490000.000000,-69
8492000.000000,-59
8494000.000000,-43
8496000.000000,39
8498000.000000,8
8500000.000000,50
8502000.000000,74
8504000.000000,14
8506000.000000,-91
8508000.000000,-80
8510000.000000,64
8512000.000000,58
8514000.000000,52
8516000.000000,-35
8518000.000000,-49
8520000.000000,-73
8522000.000000,15
8524000.000000,128
8526000.000000,7
8528000.000000,-86
8530000.000000,-123
8532000.000000,36
8534000.000000,88
8536000.000000,78
8538000.000000,-7
8540000.000000,-63
8542000.000000,-75
8544000.000000,-23
8546000.000000,83
8548000.000000,47
8550000.000000,-22
8552000.000000,-66
8554000.000000,36
8556000.000000,34
8558000.000000,1
8560000.000000,-4
8562000.000000,11
8564000.000000,6
8566000.000000,-27
8568000.000000,36
8570000.000000,-30
8572000.000000,4
8574000.000000,-5
8576000.000000,66
8578000.000000,40
8580000.000000,-53
8582000.000000,-82
8584000.000000,-2
8586000.000000,120
8588000.000000,10
8590000.000000,-59
8592000.000000,-110
8594000.000000,-1
8596000.000000,55
8598000.000000,107
8600000.000000,4
8602000.000000,-154
8604000.000000,-51
8606000.000000,59
8608000.000000,99
8610000.000000,-63
8612000.000000,-50
8614000.000000,0
8616000.000000,53
8618000.000000,11
8620000.000000,-48
8622000.000000,-49
8624000.000000,-33
8626000.000000,82
8628000.000000,33
8630000.000000,16
8632000.000000,-49
8634000.000000,14
8636000.000000,62
8638000.000000,-19
8640000.000000,-90
8642000.000000,-74
8644000.000000,100
8646000.000000,74
8648000.000000,17
8650000.000000,-87
8652000.000000,-11
8654000.000000,32
8656000.000000,55
8658000.000000,11
8660000.000000,-116
8662000.000000,-67
8664000.000000,4
8666000.000000,151
8668000.000000,51
8670000.000000,-63
8672000.000000,-89
8674000.000000,-34
8676000.000000,12
8678000.000000,9
8680000.000000,79
8682000.000000,29
8684000.000000,-44
8686000.000000,-78
8688000.000000,39
8690000.000000,20
8692000.000000,-17
8694000.000000,-21
8696000.000000,-4
8698000.000000,-13
8700000.000000,-3
8702000.000000,83
8704000.000000,-1
8706000.000000,-24
8708000.000000,-95
8710000.000000,4
8712000.000000,6
8714000.000000,-15
8716000.000000,-1
8718000.000000,30
8720000.000000,85
8722000.000000,-68
8724000.000000,-83
8726000.000000,-53
8728000.000000,68
8730000.000000,54
8732000.000000,23
8734000.000000,-72
8736000.000000,-114
8738000.000000,37
8740000.000000,109
8742000.000000,98
8744000.000000,-81
8746000.000000,-53
8748000.000000,-17
8750000.000000,41
8752000.000000,41
8754000.000000,42
8756000.000000,19
8758000.000000,-65
8760000.000000,-30
8762000.000000,-10
8764000.000000,109
8766000.000000,26
8768000.000000,-20
8770000.000000,-29
8772000.000000,-25
8774000.000000,11
8776000.000000,12
8778000.000000,99
8780000.000000,-16
8782000.000000,-42
8784000.000000,-72
8786000.000000,21
8788000.000000,16
8790000.000000,12
8792000.000000,36
8794000.000000,30
8796000.000000,-1
8798000.000000,-109
8800000.000000,-7
8802000.000000,65
8804000.000000,88
8806000.000000,-98
8808000.000000,-95
8810000.000000,19
8812000.000000,96
8814000.000000,114
8816000.000000,-39
8818000.000000,-93
8820000.000000,-75
8822000.000000,122
8824000.000000,76
8826000.000000,-52
8828000.000000,-100
8830000.000000,52
8832000.000000,174
8834000.000000,22
8836000.000000,-110
8838000.000000,-114
8840000.000000,84
8842000.000000,84
8844000.000000,14
8846000.000000,-69
8848000.000000,-11
8850000.000000,34
8852000.000000,46
8854000.000000,2
8856000.000000,-115
8858000.000000,-17
8860000.000000,51
8862000.000000,98
8864000.000000,-25
8866000.000000,-34
8868000.000000,-37
8870000.000000,3
8872000.000000,29
8874000.000000,-11
8876000.000000,18
8878000.000000,-42
8880000.000000,2
8882000.000000,-35
8884000.000000,67
8886000.000000,76
8888000.000000,-34
8890000.000000,-79
8892000.000000,-71
8894000.000000,67
8896000.000000,53
8898000.000000,55
8900000.000000,-71
