Samples,Power
8370000.000000,8
8372000.000000,96
8374000.000000,77
8376000.000000,-42
8378000.000000,-91
8380000.000000,-13
8382000.000000,52
8384000.000000,78
8386000.000000,-17
8388000.000000,-82
8390000.000000,-101
8392000.000000,89
8394000.000000,123
8396000.000000,22
8398000.000000,-103
8400000.000000,-70
8402000.000000,66
8404000.000000,66
8406000.000000,63
8408000.000000,-105
8410000.000000,-71
8412000.000000,-10
8414000.000000,98
8416000.000000,78
8418000.000000,-1
8420000.000000,-51
8422000.000000,-47
8424000.000000,77
8426000.000000,30
8428000.000000,-25
8430000.000000,-93
8432000.000000,42
8434000.000000,65
8436000.000000,20
8438000.000000,-13
8440000.000000,-70
8442000.000000,17
8444000.000000,39
8446000.000000,68
8448000.000000,-88
8450000.000000,-66
8452000.000000,4
8454000.000000,118
8456000.000000,74
8458000.000000,-106
8460000.000000,-100
8462000.000000,-39
8464000.000000,112
8466000.000000,39
8468000.000000,-2
8470000.000000,-26
8472000.000000,-22
8474000.000000,5
8476000.000000,-3
8478000.000000,40
8480000.000000,-37
8482000.000000,-34
8484000.000000,-38
8486000.000000,26
8488000.000000,41
8490000.000000,55
8492000.000000,32
8494000.000000,-25
8496000.000000,-83
8498000.000000,-101
8500000.000000,46
8502000.000000,62
8504000.000000,47
8506000.000000,-29
8508000.000000,-16
8510000.000000,-77
8512000.000000,-52
8514000.000000,79
8516000.000000,70
8518000.000000,-3
8520000.000000,-96
8522000.000000,-28
8524000.000000,-10
8526000.000000,80
8528000.000000,61
8530000.000000,-1
8532000.000000,-106
8534000.000000,-102
8536000.000000,55
8538000.000000,127
8540000.000000,83
8542000.000000,-113
8544000.000000,-63
8546000.000000,-9
8548000.000000,31
8550000.000000,8
8552000.000000,9
8554000.000000,-21
8556000.000000,-58
8558000.000000,30
8560000.000000,27
8562000.000000,14
8564000.000000,-61
8566000.000000,15
8568000.000000,27
8570000.000000,19
8572000.000000,-44
8574000.000000,-95
8576000.000000,34
8578000.000000,41
8580000.000000,60
8582000.000000,-60
8584000.000000,-50
8586000.000000,-43
8588000.000000,78
8590000.000000,118
8592000.000000,-60
8594000.000000,-139
8596000.000000,-41
8598000.000000,149
8600000.000000,66
8602000.000000,-20
8604000.000000,-62
8606000.000000,-20
8608000.000000,33
8610000.000000,27
8612000.000000,36
8614000.000000,-61
8616000.000000,2
8618000.000000,34
8620000.000000,64
8622000.000000,-38
8624000.000000,-70
8626000.000000,-19
8628000.000000,28
8630000.000000,16
8632000.000000,-44
8634000.000000,24
8636000.000000,27
8638000.000000,38
8640000.000000,-41
8642000.000000,-53
8644000.000000,-81
8646000.000000,-17
8648000.000000,85
8650000.000000,28
8652000.000000,-36
8654000.000000,-85
8656000.000000,59
8658000.000000,55
8660000.000000,21
8662000.000000,-86
8664000.000000,-48
8666000.000000,-11
8668000.000000,18
8670000.000000,103
8672000.000000,74
8674000.000000,-32
8676000.000000,-153
8678000.000000,1
8680000.000000,87
8682000.000000,73
8684000.000000,-18
8686000.000000,-24
8688000.000000,2
8690000.000000,-17
8692000.000000,65
8694000.000000,2
8696000.000000,-18
8698000.000000,-64
8700000.000000,21
8702000.000000,21
8704000.000000,14
8706000.000000,21
8708000.000000,32
8710000.000000,24
8712000.000000,-99
8714000.000000,-38
8716000.000000,-27
8718000.000000,65
8720000.000000,31
8722000.000000,18
8724000.000000,21
8726000.000000,-73
8728000.000000,-53
8730000.000000,8
8732000.000000,121
8734000.000000,20
8736000.000000,-42
8738000.000000,-66
8740000.000000,-22
8742000.000000,20
8744000.000000,88
8746000.000000,106
8748000.000000,-49
8750000.000000,-100
8752000.000000,-45
8754000.000000,114
8756000.000000,69
8758000.000000,6
8760000.000000,-72
8762000.000000,-40
8764000.000000,38
8766000.000000,17
8768000.000000,60
8770000.000000,-26
8772000.000000,-6
8774000.000000,-28
8776000.000000,33
8778000.000000,-8
8780000.000000,-2
8782000.000000,54
8784000.000000,43
8786000.000000,-21
8788000.000000,-121
8790000.000000,-14
8792000.000000,58
8794000.000000,98
8796000.000000,-24
8798000.000000,-46
8800000.000000,-27
8802000.000000,39
8804000.000000,67
8806000.000000,1
8808000.000000,-26
8810000.000000,-115
8812000.000000,-1
8814000.000000,70
8816000.000000,104
8818000.000000,-36
8820000.000000,-57
8822000.000000,-6
8824000.000000,3
8826000.000000,14
8828000.000000,-54
8830000.000000,18
8832000.000000,-28
8834000.000000,34
8836000.000000,39
8838000.000000,-9
8840000.000000,-50
8842000.000000,-70
8844000.000000,40
8846000.000000,38
8848000.000000,22
8850000.000000,-70
8852000.000000,8
8854000.000000,18
8856000.000000,49
8858000.000000,-11
8860000.000000,-87
8862000.000000,-44
8864000.000000,19
8866000.000000,133
8868000.000000,8
8870000.000000,-81
8872000.000000,-103
8874000.000000,48
8876000.000000,94
8878000.000000,7
8880000.000000,-106
8882000.000000,-104
8884000.000000,76
8886000.000000,72
8888000.000000,33
8890000.000000,-69
8892000.000000,-42
8894000.000000,-40
8896000.000000,26
8898000.000000,49
8900000.000000,-33
8902000.000000,-28
8904000.000000,-21
8906000.000000,20
8908000.000000,-57
8910000.000000,0
8912000.000000,41
8914000.000000,52
8916000.000000,-39
8918000.000000,-96
8920000.000000,-21
8922000.000000,52
8924000.000000,71
8926000.000000,-11
8928000.000000,-5
8930000.000000,-62
8932000.000000,-3
8934000.000000,20
8936000.000000,46
8938000.000000,24
8940000.000000,-20
8942000.000000,1
8944000.000000,-75
8946000.000000,1
8948000.000000,79
8950000.000000,136
8952000.000000,-39
8954000.000000,-177
8956000.000000,-83
8958000.000000,99
8960000.000000,156
8962000.000000,-24
8964000.000000,-77
8966000.000000,-49
8968000.000000,48
8970000.000000,6
8972000.000000,-48
8974000.000000,-41
8976000.000000,-3
8978000.000000,98
8980000.000000,16
8982000.000000,-49
8984000.000000,-74
8986000.000000,79
8988000.000000,65
8990000.000000,-22
8992000.000000,-99
8994000.000000,-55
8996000.000000,67
8998000.000000,124
9000000.000000,108
9002000.000000,-89
9004000.000000,-91
9006000.000000,-39
9008000.000000,81
9010000.000000,91
9012000.000000,49
9014000.000000,-28
9016000.000000,-77
9018000.000000,16
9020000.000000,47
9022000.000000,74
9024000.000000,-26
9026000.000000,-57
9028000.000000,-74
9030000.000000,62
9032000.000000,141
9034000.000000,31
9036000.000000,-74
9038000.000000,-88
9040000.000000,48
9042000.000000,41
9044000.000000,-18
9046000.000000,-89
9048000.000000,39
9050000.000000,119
9052000.000000,28
9054000.000000,-82
9056000.000000,-114
9058000.000000,41
9060000.000000,87
9062000.000000,73
9064000.000000,-125
9066000.000000,-85
9068000.000000,56
9070000.000000,150
9072000.000000,4
9074000.000000,-156
9076000.000000,-29
9078000.000000,69
9080000.000000,138
9082000.000000,-35
9084000.000000,-107
9086000.000000,-57
9088000.000000,63
9090000.000000,106
9092000.000000,-32
9094000.000000,-50
9096000.000000,-43
9098000.000000,62
9100000.000000,20
9102000.000000,-8
9104000.000000,-50
9106000.000000,18
9108000.000000,39
9110000.000000,-19
9112000.000000,-23
9114000.000000,-42
9116000.000000,53
9118000.000000,10
9120000.000000,6
9122000.000000,-59
9124000.000000,-5
9126000.000000,47
9128000.000000,25
9130000.000000,13
9132000.000000,-14
9134000.000000,17
9136000.000000,-89
9138000.000000,-49
9140000.000000,-18
9142000.000000,90
9144000.000000,98
9146000.000000,-2
9148000.000000,-125
9150000.000000,-104
9152000.000000,75
9154000.000000,104
9156000.000000,8
9158000.000000,-156
9160000.000000,-92
9162000.000000,56
9164000.000000,157
9166000.000000,30
9168000.000000,-105
9170000.000000,-77
9172000.000000,-46
9174000.000000,32
9176000.000000,52
9178000.000000,78
9180000.000000,-52
9182000.000000,-17
9184000.000000,10
9186000.000000,-38
9188000.000000,-44
9190000.000000,-3
9192000.000000,111
9194000.000000,9
9196000.000000,-22
9198000.000000,-47
9200000.000000,36
9202000.000000,20
9204000.000000,13
9206000.000000,-2
9208000.000000,-62
